elevation,soil_depth,clay_content,annual_rainfall,distance_to_river,ndvi_score,month,risk_score
545.0,77.0,39.1,1459.0,4.8,0.38,2,54.3
402.0,214.0,57.8,1515.0,30.2,0.53,6,23.5
173.0,29.0,47.7,2359.0,13.5,0.74,3,32.8
724.0,125.0,55.9,1327.0,33.5,0.69,12,67.7
839.0,241.0,13.2,1380.0,37.4,0.23,2,87.6
872.0,45.0,66.5,251.0,21.7,0.25,5,100.0
625.0,47.0,6.0,1121.0,20.0,0.44,2,100.0
774.0,193.0,28.4,804.0,15.0,0.1,10,54.2
278.0,14.0,59.5,1599.0,19.0,0.71,7,45.2
469.0,42.0,65.5,644.0,20.7,0.34,1,85.6
110.0,153.0,33.5,547.0,21.2,0.75,8,54.9
138.0,235.0,44.6,2045.0,45.1,0.31,4,19.5
1167.0,117.0,20.3,476.0,2.1,0.34,2,85.5
794.0,229.0,6.3,476.0,34.9,0.79,7,82.5
1144.0,249.0,58.6,909.0,8.0,0.18,11,44.4
682.0,248.0,41.3,1717.0,21.3,0.45,7,30.4
1163.0,114.0,13.2,1782.0,23.8,0.25,4,99.8
204.0,82.0,45.3,2341.0,42.7,0.66,3,58.7
948.0,17.0,44.5,1389.0,14.9,0.15,9,78.8
438.0,80.0,58.5,551.0,6.7,0.3,2,60.5
1059.0,40.0,16.0,2146.0,41.5,0.57,1,85.5
650.0,224.0,49.1,950.0,8.8,0.7,10,23.3
857.0,253.0,32.4,414.0,15.5,0.35,9,71.3
981.0,240.0,6.0,1288.0,4.6,0.42,10,52.6
1036.0,39.0,21.5,569.0,24.9,0.74,12,100.0
535.0,22.0,10.3,1843.0,44.7,0.52,1,100.0
784.0,169.0,6.5,2322.0,43.0,0.15,12,79.6
259.0,199.0,30.4,753.0,5.8,0.12,8,69.4
973.0,117.0,39.3,1873.0,50.0,0.13,12,81.9
29.0,105.0,66.3,454.0,20.5,0.69,12,51.6
864.0,86.0,60.1,1473.0,37.8,0.7,8,84.6
98.0,77.0,34.2,1966.0,27.0,0.32,9,30.3
988.0,108.0,60.9,1399.0,1.8,0.25,5,66.5
852.0,259.0,30.5,1576.0,20.5,0.5,9,38.7
46.0,169.0,66.2,304.0,4.2,0.27,10,18.3
482.0,175.0,60.9,508.0,23.2,0.53,8,64.5
989.0,228.0,5.7,758.0,29.4,0.7,3,93.9
341.0,45.0,33.5,1930.0,30.4,0.33,9,72.5
76.0,115.0,27.8,1901.0,37.7,0.8,7,27.0
609.0,33.0,25.2,257.0,36.0,0.24,8,100.0
355.0,60.0,40.0,2282.0,29.5,0.74,5,71.8
233.0,32.0,40.9,686.0,27.6,0.31,10,81.9
704.0,177.0,32.4,1394.0,39.8,0.53,7,66.2
1195.0,131.0,61.4,1153.0,36.3,0.65,7,68.5
806.0,32.0,69.3,465.0,15.9,0.75,7,96.7
580.0,158.0,38.0,2079.0,27.0,0.13,7,74.3
269.0,32.0,55.6,1693.0,41.1,0.62,11,54.3
150.0,241.0,54.6,1084.0,39.3,0.66,10,4.2
1057.0,97.0,62.4,1635.0,9.5,0.53,8,45.8
558.0,160.0,22.3,1904.0,33.6,0.26,9,46.2
262.0,90.0,65.6,838.0,4.1,0.66,1,28.7
930.0,77.0,69.0,503.0,15.7,0.29,2,81.4
612.0,82.0,48.6,1716.0,13.6,0.36,7,48.6
977.0,276.0,44.2,944.0,41.5,0.19,11,57.6
4.0,243.0,27.9,1414.0,42.3,0.3,6,30.2
880.0,274.0,51.9,987.0,10.6,0.62,12,45.6
789.0,179.0,30.3,539.0,16.7,0.79,9,47.8
592.0,101.0,39.5,947.0,37.4,0.23,12,71.5
391.0,82.0,53.7,339.0,46.9,0.73,8,85.0
753.0,124.0,23.5,976.0,41.0,0.15,11,70.1
116.0,110.0,63.6,2137.0,41.0,0.58,5,23.6
597.0,196.0,8.9,2407.0,47.1,0.27,12,81.6
1168.0,100.0,35.3,663.0,35.8,0.4,4,100.0
431.0,197.0,60.4,1660.0,48.3,0.74,5,47.5
1080.0,191.0,13.9,2308.0,27.8,0.52,2,87.1
639.0,288.0,18.0,1491.0,25.7,0.28,12,61.2
1083.0,192.0,28.1,2085.0,3.3,0.3,8,39.5
151.0,273.0,41.3,2005.0,7.2,0.26,2,0.0
316.0,123.0,22.6,654.0,27.0,0.79,11,65.9
68.0,256.0,67.3,1411.0,25.2,0.14,8,37.3
335.0,115.0,52.7,2250.0,21.9,0.8,11,27.5
60.0,93.0,20.1,2339.0,25.4,0.56,2,47.7
511.0,298.0,25.2,361.0,3.6,0.13,7,62.6
285.0,192.0,32.6,1611.0,2.6,0.25,8,28.1
956.0,40.0,25.2,1256.0,49.4,0.24,7,100.0
297.0,271.0,32.4,2345.0,28.5,0.11,9,39.7
666.0,62.0,43.0,2174.0,41.8,0.4,10,56.5
250.0,245.0,21.2,455.0,49.3,0.14,4,84.7
824.0,162.0,34.3,1237.0,49.7,0.74,8,85.6
1197.0,50.0,42.2,1169.0,6.2,0.5,9,64.6
1048.0,273.0,34.3,452.0,48.0,0.53,7,77.5
651.0,48.0,25.1,2346.0,17.4,0.4,11,60.2
894.0,132.0,12.1,510.0,21.8,0.5,1,100.0
466.0,270.0,53.0,1375.0,40.2,0.22,11,27.0
170.0,152.0,38.3,1722.0,38.1,0.39,7,35.2
163.0,283.0,63.0,1788.0,13.9,0.62,10,0.0
28.0,112.0,22.3,1792.0,0.7,0.53,8,11.2
985.0,131.0,60.6,1395.0,5.6,0.33,10,48.2
840.0,291.0,21.1,675.0,19.6,0.55,1,62.8
1063.0,87.0,66.1,561.0,23.2,0.65,5,93.6
666.0,186.0,5.3,2353.0,15.3,0.34,5,71.2
943.0,24.0,28.6,425.0,14.7,0.73,9,95.1
601.0,184.0,62.1,656.0,22.2,0.28,7,68.6
608.0,164.0,69.9,1449.0,22.5,0.7,5,70.1
966.0,248.0,43.8,1054.0,42.8,0.41,9,53.3
446.0,84.0,55.7,2408.0,29.2,0.62,1,40.6
600.0,203.0,26.0,958.0,44.2,0.5,6,59.0
199.0,278.0,27.0,2261.0,18.9,0.53,5,15.1
492.0,36.0,36.8,2400.0,20.4,0.44,3,92.0
282.0,256.0,54.3,400.0,10.5,0.75,2,36.7
507.0,63.0,47.7,1463.0,12.3,0.43,3,75.3
273.0,62.0,62.1,307.0,33.6,0.54,2,76.1
807.0,290.0,34.3,1206.0,49.5,0.39,12,64.7
128.0,229.0,25.2,2063.0,37.7,0.35,7,15.5
1114.0,249.0,31.7,1870.0,22.6,0.3,7,60.8
872.0,67.0,14.6,1402.0,40.6,0.62,10,95.6
1165.0,101.0,22.4,1763.0,37.2,0.19,2,76.4
1184.0,109.0,34.4,547.0,17.4,0.63,6,75.4
723.0,209.0,7.1,228.0,44.5,0.54,8,84.1
546.0,275.0,63.2,274.0,47.9,0.1,5,94.0
498.0,54.0,40.0,508.0,32.8,0.31,6,86.9
1008.0,266.0,66.0,546.0,45.6,0.2,12,71.4
551.0,59.0,49.4,836.0,20.1,0.65,6,73.4
713.0,250.0,7.5,1554.0,32.8,0.77,4,59.0
412.0,127.0,64.6,1378.0,46.1,0.77,5,56.4
838.0,261.0,31.7,1587.0,12.7,0.29,7,42.8
75.0,230.0,60.7,2352.0,39.3,0.49,9,4.1
364.0,187.0,51.3,2166.0,48.8,0.24,9,33.5
680.0,244.0,18.5,2230.0,19.4,0.32,8,32.0
44.0,160.0,67.5,1449.0,20.9,0.22,7,39.1
440.0,230.0,13.5,373.0,15.2,0.46,7,73.2
909.0,110.0,26.9,342.0,39.2,0.64,12,93.9
983.0,269.0,8.8,794.0,45.1,0.2,9,83.2
316.0,273.0,38.3,2203.0,8.8,0.42,7,18.4
349.0,197.0,6.8,1771.0,3.3,0.15,7,52.4
292.0,216.0,62.5,1469.0,39.9,0.59,6,42.0
772.0,237.0,57.5,406.0,35.1,0.59,11,52.2
1092.0,15.0,6.2,1499.0,9.4,0.14,5,100.0
545.0,239.0,19.6,586.0,35.4,0.65,10,48.0
395.0,105.0,24.0,367.0,42.2,0.28,1,77.8
838.0,107.0,22.5,2290.0,14.4,0.66,5,66.4
992.0,168.0,30.0,707.0,34.3,0.47,5,100.0
663.0,262.0,46.1,1075.0,12.3,0.38,2,34.9
528.0,196.0,25.8,1534.0,10.0,0.45,6,38.1
895.0,256.0,6.5,1024.0,38.6,0.62,7,74.6
796.0,285.0,8.7,1857.0,13.1,0.18,1,48.2
384.0,88.0,5.3,1267.0,4.4,0.35,12,59.4
79.0,193.0,29.7,2053.0,17.6,0.35,6,22.2
834.0,262.0,5.7,778.0,8.5,0.56,2,69.7
824.0,268.0,60.1,1751.0,29.5,0.68,8,37.3
703.0,253.0,45.4,1999.0,29.3,0.31,7,27.1
1066.0,85.0,48.7,938.0,1.5,0.26,4,68.7
359.0,90.0,10.3,1235.0,33.9,0.16,7,95.8
927.0,122.0,54.1,2439.0,28.7,0.45,4,62.2
720.0,81.0,27.4,967.0,6.0,0.21,12,65.7
989.0,68.0,6.3,1674.0,32.6,0.39,8,99.7
18.0,231.0,42.4,1833.0,33.0,0.33,4,18.0
521.0,296.0,55.3,2082.0,2.8,0.25,2,2.6
1083.0,121.0,48.1,1151.0,44.1,0.6,8,66.1
843.0,295.0,50.4,539.0,19.0,0.23,11,48.4
843.0,47.0,67.6,1927.0,10.1,0.53,9,56.9
385.0,122.0,68.1,1554.0,41.9,0.67,12,28.9
285.0,84.0,8.5,2397.0,41.1,0.37,6,75.4
1090.0,221.0,36.6,264.0,27.3,0.21,6,85.4
887.0,97.0,31.5,1911.0,37.5,0.14,8,89.4
689.0,136.0,56.6,1425.0,2.1,0.41,10,25.5
65.0,129.0,37.4,2234.0,29.5,0.26,6,42.7
187.0,146.0,59.9,736.0,2.6,0.28,9,18.1
349.0,61.0,62.7,2064.0,22.7,0.71,12,44.2
1022.0,227.0,47.5,1870.0,23.0,0.18,3,69.4
264.0,280.0,18.6,643.0,48.4,0.77,2,62.8
1098.0,77.0,35.0,1683.0,2.1,0.62,4,60.6
610.0,255.0,68.6,1190.0,14.6,0.49,7,28.2
210.0,43.0,11.7,1649.0,31.0,0.66,6,90.7
415.0,187.0,39.8,700.0,37.7,0.13,8,85.1
313.0,204.0,18.7,692.0,35.3,0.62,4,65.2
591.0,170.0,50.8,1664.0,18.5,0.77,7,28.9
573.0,65.0,43.2,974.0,16.1,0.72,7,57.7
1165.0,218.0,26.7,1644.0,15.8,0.76,7,30.8
1131.0,140.0,56.9,1999.0,42.5,0.27,9,56.2
862.0,50.0,60.7,2281.0,27.1,0.4,11,57.3
352.0,142.0,27.8,1964.0,10.2,0.73,3,37.7
796.0,219.0,59.6,594.0,25.3,0.6,8,55.4
738.0,212.0,13.6,1095.0,4.6,0.18,5,65.0
83.0,63.0,34.8,544.0,7.2,0.74,8,54.0
158.0,186.0,39.6,1320.0,45.4,0.29,3,54.8
175.0,277.0,22.0,885.0,12.7,0.57,4,25.6
158.0,108.0,38.7,1548.0,42.3,0.48,4,48.8
430.0,260.0,51.8,1407.0,39.5,0.57,11,26.0
370.0,258.0,14.0,621.0,42.9,0.3,7,70.1
1145.0,147.0,37.6,2343.0,26.5,0.71,2,59.9
935.0,241.0,14.1,636.0,42.5,0.65,8,94.5
888.0,87.0,66.7,1982.0,11.3,0.31,7,51.5
1198.0,106.0,37.3,966.0,6.7,0.37,9,59.4
691.0,146.0,16.2,1814.0,29.4,0.55,3,65.7
334.0,120.0,37.3,507.0,19.7,0.18,7,67.6
128.0,225.0,7.1,1189.0,26.8,0.22,5,59.6
187.0,165.0,67.1,1788.0,47.5,0.61,1,18.5
856.0,89.0,13.8,1434.0,33.6,0.12,1,100.0
1000.0,179.0,32.8,1089.0,13.5,0.1,9,67.0
151.0,91.0,40.2,2013.0,15.4,0.21,9,17.9
251.0,258.0,20.6,469.0,2.4,0.16,10,39.8
1066.0,243.0,13.2,1770.0,48.2,0.33,1,71.0
441.0,277.0,53.3,660.0,25.2,0.77,9,32.2
1045.0,270.0,55.8,343.0,26.9,0.14,4,100.0
466.0,252.0,67.3,1461.0,49.6,0.6,1,34.5
1148.0,65.0,63.7,1582.0,17.5,0.64,12,44.3
688.0,40.0,59.8,2369.0,29.6,0.12,1,77.1
412.0,289.0,7.1,1081.0,14.2,0.59,1,38.1
844.0,162.0,59.5,2003.0,48.0,0.57,5,66.6
1043.0,228.0,36.2,1518.0,27.7,0.51,5,63.8
760.0,250.0,10.4,2197.0,47.6,0.5,3,74.3
96.0,88.0,50.8,413.0,4.4,0.73,7,41.3
1103.0,77.0,16.4,1977.0,25.5,0.68,7,78.2
919.0,151.0,41.9,554.0,27.0,0.11,12,90.7
390.0,272.0,31.7,1547.0,31.9,0.46,8,34.7
297.0,300.0,29.8,2428.0,45.6,0.63,3,32.4
359.0,161.0,65.7,2453.0,48.8,0.19,8,48.5
265.0,216.0,21.5,1981.0,3.4,0.45,3,18.4
707.0,177.0,69.1,1532.0,44.9,0.16,1,57.5
38.0,111.0,60.1,1979.0,30.8,0.71,4,36.0
434.0,138.0,64.3,2097.0,26.7,0.42,5,47.0
288.0,56.0,55.1,1145.0,23.3,0.79,5,75.6
225.0,230.0,34.3,990.0,39.1,0.51,4,60.7
150.0,281.0,35.0,991.0,25.9,0.37,10,18.6
340.0,83.0,7.4,1954.0,43.8,0.16,3,91.3
234.0,70.0,22.6,1584.0,3.6,0.78,12,33.9
97.0,285.0,65.0,1517.0,41.8,0.74,11,0.0
980.0,19.0,25.9,2004.0,46.7,0.21,4,100.0
1166.0,33.0,17.6,1213.0,47.9,0.56,9,99.0
900.0,105.0,15.7,726.0,2.0,0.59,7,68.9
832.0,298.0,44.2,1811.0,49.5,0.41,4,61.9
960.0,231.0,8.7,2402.0,19.7,0.45,9,48.1
455.0,56.0,21.4,1374.0,42.1,0.71,2,62.9
872.0,242.0,44.1,1698.0,43.8,0.54,10,26.7
807.0,99.0,39.9,1080.0,49.9,0.46,6,100.0
117.0,214.0,20.1,922.0,15.9,0.78,3,22.5
306.0,203.0,18.9,1900.0,26.3,0.37,8,35.8
565.0,236.0,31.3,829.0,37.3,0.29,4,74.0
699.0,148.0,29.6,2013.0,1.9,0.44,6,38.8
432.0,299.0,20.5,1464.0,14.5,0.71,11,15.6
761.0,52.0,67.0,1467.0,49.4,0.35,10,63.6
616.0,91.0,39.6,1319.0,27.6,0.36,5,89.5
164.0,155.0,51.0,882.0,6.0,0.22,10,16.1
399.0,28.0,13.1,2205.0,35.4,0.77,10,76.6
1060.0,142.0,12.2,354.0,1.5,0.51,3,100.0
878.0,100.0,6.7,1910.0,38.3,0.25,9,71.8
795.0,187.0,39.3,1187.0,38.1,0.35,1,77.6
143.0,42.0,62.3,902.0,26.1,0.37,2,63.0
1145.0,111.0,63.6,944.0,7.3,0.78,4,67.2
1164.0,64.0,47.7,841.0,26.7,0.79,6,74.0
1088.0,117.0,45.9,1286.0,11.2,0.12,10,66.0
466.0,250.0,18.5,1414.0,23.4,0.46,9,34.3
1195.0,116.0,23.9,886.0,49.4,0.67,1,76.1
934.0,198.0,61.1,2277.0,9.8,0.1,11,50.2
915.0,217.0,45.6,2360.0,17.1,0.75,10,11.8
11.0,216.0,17.2,682.0,48.0,0.46,9,40.7
318.0,263.0,55.0,1365.0,7.5,0.64,1,19.1
171.0,200.0,11.8,1885.0,14.1,0.17,8,44.7
182.0,212.0,30.5,1696.0,48.3,0.25,4,29.2
797.0,196.0,55.4,423.0,8.3,0.49,8,71.3
802.0,30.0,38.9,1016.0,6.4,0.67,6,88.2
761.0,27.0,65.6,343.0,49.3,0.7,1,100.0
457.0,268.0,20.2,796.0,32.4,0.51,1,60.5
364.0,291.0,5.6,1016.0,33.8,0.75,7,60.2
406.0,296.0,8.9,920.0,29.7,0.74,7,63.1
53.0,29.0,24.3,1183.0,17.5,0.57,6,55.1
1158.0,282.0,56.9,605.0,45.4,0.75,11,50.5
1034.0,160.0,36.2,1467.0,24.8,0.74,12,77.8
816.0,19.0,51.1,910.0,5.1,0.7,7,84.2
58.0,182.0,40.7,1003.0,18.7,0.19,4,51.0
47.0,174.0,47.5,1281.0,3.7,0.2,11,0.0
1026.0,51.0,40.5,747.0,34.0,0.14,12,100.0
207.0,132.0,41.7,2324.0,3.3,0.57,12,8.9
464.0,54.0,51.1,652.0,5.3,0.27,10,49.3
837.0,22.0,56.4,2159.0,39.7,0.38,10,68.1
720.0,71.0,10.7,258.0,38.5,0.72,5,100.0
428.0,36.0,8.5,720.0,40.0,0.32,6,100.0
574.0,252.0,38.6,1879.0,4.8,0.71,7,9.3
838.0,206.0,60.2,1154.0,37.4,0.68,12,57.0
969.0,205.0,34.4,1076.0,7.7,0.77,4,53.8
373.0,64.0,23.0,935.0,38.6,0.72,5,85.2
1128.0,243.0,47.3,2279.0,10.0,0.63,12,30.7
283.0,14.0,55.6,568.0,9.2,0.11,4,92.6
808.0,44.0,35.5,2429.0,5.6,0.2,2,72.8
941.0,43.0,47.1,2135.0,44.9,0.73,2,73.2
363.0,249.0,18.8,2135.0,33.0,0.17,1,43.0
997.0,172.0,67.0,2007.0,39.9,0.8,6,49.9
90.0,270.0,35.2,357.0,37.7,0.76,5,60.3
576.0,226.0,50.6,1126.0,10.9,0.26,8,27.5
78.0,289.0,47.5,1248.0,8.5,0.21,11,0.0
404.0,296.0,57.7,2259.0,4.8,0.62,5,4.8
1160.0,208.0,66.9,1751.0,22.6,0.59,9,31.9
875.0,28.0,18.6,1993.0,26.7,0.7,12,93.0
612.0,266.0,28.7,1936.0,49.9,0.44,11,29.7
953.0,42.0,19.6,246.0,5.4,0.74,3,100.0
190.0,24.0,67.1,2140.0,44.2,0.47,11,35.2
831.0,125.0,56.3,2180.0,36.2,0.45,11,54.5
1117.0,77.0,40.1,392.0,9.4,0.71,7,85.2
405.0,169.0,51.9,262.0,29.6,0.31,3,81.0
413.0,147.0,8.1,1949.0,11.1,0.39,2,55.1
65.0,121.0,53.4,1321.0,41.7,0.26,3,47.5
183.0,145.0,11.9,1603.0,8.3,0.6,4,32.2
122.0,216.0,48.8,1587.0,20.6,0.11,5,34.0
807.0,56.0,37.5,2401.0,26.5,0.66,8,70.1
214.0,126.0,14.8,1565.0,21.6,0.3,3,82.3
1029.0,199.0,10.3,1250.0,33.1,0.44,10,96.4
573.0,223.0,9.2,356.0,31.2,0.23,12,98.5
1032.0,64.0,23.1,1042.0,24.6,0.64,1,93.9
491.0,99.0,64.3,1644.0,49.0,0.23,12,44.5
508.0,52.0,13.3,928.0,30.8,0.66,6,90.9
99.0,248.0,52.3,387.0,11.9,0.77,9,14.6
727.0,230.0,8.8,648.0,20.6,0.59,3,92.8
230.0,128.0,68.7,754.0,34.3,0.6,2,55.0
199.0,234.0,28.5,2015.0,14.2,0.25,11,0.7
162.0,224.0,61.4,1067.0,4.1,0.64,12,2.5
883.0,42.0,51.0,611.0,33.3,0.54,1,100.0
786.0,265.0,46.1,2333.0,11.1,0.6,2,22.4
1113.0,209.0,49.9,2343.0,14.4,0.8,4,31.9
510.0,119.0,20.7,2261.0,8.8,0.13,2,61.4
547.0,197.0,10.2,2445.0,22.7,0.57,1,69.7
568.0,151.0,35.1,1640.0,30.8,0.56,4,63.7
1044.0,238.0,69.4,429.0,40.4,0.54,8,72.0
643.0,94.0,48.5,1487.0,4.2,0.24,2,54.0
680.0,70.0,23.8,654.0,16.1,0.53,6,70.3
1145.0,104.0,50.6,1570.0,30.0,0.37,7,67.1
358.0,24.0,61.9,1932.0,13.3,0.22,8,49.7
207.0,264.0,27.2,1106.0,20.9,0.61,9,31.2
389.0,101.0,27.8,2467.0,37.7,0.14,11,57.6
206.0,167.0,23.6,2313.0,49.0,0.36,2,55.7
1112.0,263.0,53.9,2065.0,10.7,0.56,10,12.6
63.0,68.0,64.2,2433.0,48.2,0.22,4,50.8
371.0,225.0,16.5,717.0,37.2,0.68,5,66.3
57.0,214.0,6.0,2166.0,34.4,0.78,4,47.3
591.0,283.0,34.5,1949.0,49.8,0.33,11,35.0
338.0,242.0,47.1,1393.0,29.6,0.15,6,53.7
184.0,251.0,47.5,1468.0,12.6,0.65,6,10.7
227.0,52.0,57.4,2159.0,0.9,0.75,12,19.1
996.0,78.0,68.5,440.0,21.2,0.32,7,100.0
387.0,79.0,69.2,1293.0,43.3,0.57,8,52.5
965.0,82.0,64.0,497.0,49.8,0.63,2,99.0
971.0,21.0,13.5,1004.0,39.7,0.62,9,100.0
30.0,47.0,66.9,1771.0,31.9,0.57,8,40.0
760.0,183.0,27.6,2172.0,27.1,0.53,10,48.6
756.0,244.0,11.7,2492.0,35.9,0.51,11,49.9
1193.0,149.0,40.6,501.0,17.8,0.45,5,77.7
584.0,156.0,28.6,1909.0,14.8,0.24,10,37.6
643.0,58.0,40.7,2141.0,27.2,0.79,3,65.0
906.0,270.0,49.5,399.0,27.2,0.74,11,70.9
284.0,37.0,25.6,2022.0,31.7,0.64,2,65.3
1069.0,273.0,67.3,1830.0,17.6,0.23,8,24.7
1194.0,171.0,65.3,1090.0,16.5,0.23,4,70.5
223.0,277.0,52.4,903.0,44.1,0.13,5,64.5
147.0,181.0,13.3,1823.0,47.8,0.54,1,48.3
986.0,231.0,24.9,1224.0,11.2,0.79,9,43.9
1143.0,14.0,5.3,948.0,11.6,0.12,9,100.0
611.0,280.0,29.3,2179.0,36.1,0.26,1,52.5
945.0,294.0,50.3,1165.0,34.2,0.73,2,53.4
226.0,295.0,48.5,694.0,48.0,0.51,10,38.9
504.0,100.0,40.4,1000.0,3.5,0.17,10,39.3
792.0,122.0,29.0,2074.0,46.5,0.66,3,60.0
85.0,230.0,20.0,1135.0,22.5,0.24,6,35.3
476.0,32.0,23.5,2347.0,40.1,0.75,6,70.4
475.0,150.0,30.3,653.0,38.9,0.16,7,91.1
616.0,291.0,34.0,2321.0,34.3,0.35,9,34.8
492.0,150.0,62.9,612.0,36.9,0.66,12,62.1
436.0,247.0,33.2,1852.0,34.9,0.63,3,33.2
1082.0,167.0,22.5,2326.0,9.4,0.47,10,53.0
940.0,129.0,44.5,1524.0,3.7,0.42,7,31.2
358.0,29.0,34.7,610.0,30.3,0.68,12,96.4
936.0,236.0,36.8,1771.0,7.3,0.58,6,41.6
76.0,86.0,66.8,488.0,19.2,0.3,7,54.3
684.0,102.0,17.4,252.0,30.0,0.15,3,100.0
598.0,258.0,53.3,917.0,37.1,0.28,5,60.6
668.0,34.0,24.8,1502.0,0.7,0.64,9,39.0
177.0,280.0,7.6,1707.0,40.2,0.76,11,21.6
843.0,76.0,35.1,1245.0,14.6,0.34,7,82.0
61.0,116.0,40.4,956.0,15.7,0.11,6,34.7
960.0,242.0,36.4,774.0,25.8,0.66,8,80.7
687.0,21.0,64.0,1311.0,22.6,0.65,10,72.6
330.0,256.0,30.3,1370.0,29.6,0.6,2,38.3
1183.0,121.0,13.5,1036.0,26.8,0.26,8,100.0
29.0,26.0,51.4,1980.0,21.0,0.73,1,50.6
105.0,103.0,63.7,879.0,5.5,0.16,11,31.3
229.0,27.0,10.0,2210.0,31.0,0.25,6,97.9
671.0,86.0,25.3,2092.0,25.2,0.68,10,60.0
785.0,298.0,37.1,2316.0,49.2,0.51,10,29.2
733.0,104.0,29.3,1855.0,16.6,0.35,2,45.3
844.0,16.0,65.6,2319.0,41.4,0.77,3,94.0
154.0,79.0,63.9,2321.0,5.8,0.46,12,21.2
93.0,96.0,21.3,711.0,48.3,0.64,9,62.2
605.0,57.0,63.4,545.0,44.9,0.45,9,67.1
659.0,213.0,52.9,1524.0,31.1,0.42,3,37.4
