soil_type,soil_ph,avg_temperature,rainfall_7day,humidity,month,elevation,state,best_crop
1,7.8,27.1,41.4,30.4,11,1222.0,7,10
3,4.8,18.8,129.9,39.5,5,634.0,4,14
2,6.2,34.6,0.5,87.6,2,744.0,8,4
0,8.0,22.8,164.4,64.4,2,1262.0,4,4
1,7.3,30.3,9.3,52.7,7,848.0,2,5
3,4.9,21.5,161.0,42.1,11,256.0,5,0
1,5.8,12.7,157.6,32.1,12,1444.0,8,1
0,7.8,20.9,187.9,43.6,3,128.0,5,12
1,7.5,39.0,55.3,42.7,11,838.0,2,11
3,5.2,34.7,171.1,89.1,4,819.0,9,12
2,4.8,40.9,81.5,58.3,11,519.0,5,0
1,7.8,36.3,125.4,45.4,5,1426.0,6,4
0,8.0,14.7,149.5,75.5,5,62.0,8,8
3,7.8,21.2,90.7,25.7,8,946.0,5,3
1,7.4,12.0,18.7,40.6,12,919.0,2,1
3,5.5,16.2,158.8,36.1,12,119.0,7,0
1,6.5,21.5,168.5,71.6,4,670.0,3,3
0,7.9,19.6,183.3,88.1,2,1219.0,3,10
1,5.4,35.4,168.1,46.5,12,130.0,1,4
0,5.6,24.9,26.5,86.5,3,211.0,4,5
3,5.7,39.5,80.0,70.7,4,388.0,4,9
2,6.0,16.4,190.2,20.6,1,1045.0,1,4
0,8.0,36.2,69.6,46.9,3,710.0,1,12
2,5.9,10.2,27.8,85.3,6,1375.0,7,1
0,6.6,17.5,73.6,89.6,7,374.0,0,8
0,4.6,20.8,181.4,72.4,11,1247.0,6,11
1,5.1,29.4,178.6,62.2,1,187.0,0,4
1,7.1,22.4,19.0,59.4,6,584.0,0,5
3,5.0,19.1,24.4,27.6,1,1022.0,2,8
2,5.2,10.9,27.2,48.6,10,46.0,7,1
0,8.0,28.0,199.8,65.1,7,527.0,7,13
1,7.3,39.1,152.2,39.2,12,1332.0,6,4
1,6.5,18.4,91.7,41.1,10,1226.0,7,7
3,7.4,32.6,40.2,69.3,7,74.0,5,12
2,6.0,30.5,170.5,21.1,7,806.0,3,12
0,4.9,35.5,57.6,91.6,2,720.0,5,13
2,5.3,26.0,16.0,68.1,11,667.0,1,10
1,5.2,21.2,165.2,33.3,1,1023.0,8,4
1,6.7,34.7,131.4,54.8,1,1476.0,9,4
1,7.7,41.8,130.6,73.3,1,1134.0,8,4
3,5.2,33.6,90.2,76.3,11,925.0,2,4
3,4.8,13.3,31.8,50.5,2,330.0,0,1
2,5.7,37.2,169.9,68.7,4,1096.0,9,12
2,4.7,39.6,175.1,93.5,3,461.0,5,12
3,5.3,39.5,94.3,58.6,9,646.0,0,7
0,6.1,27.2,69.7,92.8,7,544.0,6,2
3,7.4,36.3,7.1,37.7,9,568.0,8,4
1,6.4,13.5,186.3,21.5,1,1154.0,3,1
2,8.1,11.2,84.2,38.2,3,207.0,4,12
1,7.6,35.2,34.8,41.3,11,202.0,8,5
0,7.6,13.5,117.7,45.5,2,780.0,1,7
3,5.1,37.6,143.3,64.1,4,313.0,0,12
1,6.2,19.4,108.9,93.4,5,1416.0,1,7
3,6.4,21.1,45.5,64.8,1,249.0,2,7
2,4.5,37.9,159.9,55.9,1,1255.0,1,4
2,5.1,31.2,8.1,20.7,3,350.0,0,12
0,8.4,30.1,5.7,37.3,2,454.0,9,2
2,6.3,27.7,17.9,29.8,1,1470.0,6,4
2,7.5,17.6,29.8,65.3,9,974.0,4,1
0,7.2,20.0,17.0,64.7,4,366.0,3,11
0,5.6,16.3,135.3,41.5,9,201.0,3,8
1,7.9,17.9,31.2,79.4,11,405.0,4,10
2,4.6,13.5,161.5,47.3,10,772.0,9,1
1,7.6,39.3,64.6,43.3,12,382.0,8,3
3,6.6,18.5,69.5,32.0,1,187.0,0,4
1,8.0,20.4,24.0,87.1,10,1404.0,1,10
0,7.4,18.6,17.6,83.5,4,1448.0,7,11
0,5.9,16.4,10.8,27.6,2,502.0,6,10
1,7.4,11.9,176.3,53.0,3,1403.0,4,12
1,7.6,32.8,199.3,49.2,12,292.0,6,4
1,7.4,19.9,84.0,35.8,4,61.0,7,3
1,8.3,24.3,186.1,20.3,11,355.0,8,4
2,6.9,28.1,24.6,36.7,7,320.0,8,6
3,7.3,11.8,69.6,37.8,4,878.0,2,1
2,7.4,18.9,152.5,79.4,11,150.0,3,5
2,5.6,38.0,92.9,51.7,11,1224.0,4,4
1,6.2,37.3,159.9,47.5,2,363.0,3,4
0,4.6,41.2,191.5,90.3,11,1327.0,2,11
3,5.8,15.1,158.3,93.4,7,602.0,9,0
0,7.4,15.3,43.3,31.4,2,272.0,2,11
1,8.4,22.2,129.3,46.1,9,1472.0,0,4
3,6.8,15.9,90.3,85.7,7,531.0,8,0
2,7.8,40.5,30.9,36.6,1,306.0,2,4
3,7.3,30.1,169.4,54.2,6,762.0,4,0
1,6.5,33.8,14.4,21.3,8,1348.0,7,14
0,5.5,35.2,66.4,75.0,1,410.0,2,13
1,5.1,18.4,74.2,67.2,10,186.0,1,1
3,8.0,31.6,35.0,86.4,1,20.0,8,3
3,6.1,16.2,75.8,49.1,8,890.0,3,1
3,6.6,10.8,87.7,48.5,8,472.0,1,0
3,6.9,25.6,3.3,85.0,2,1260.0,4,2
2,5.7,14.6,90.2,33.8,9,1162.0,8,1
1,5.7,23.9,83.1,40.7,3,1266.0,4,9
1,5.4,36.1,23.6,34.7,7,467.0,5,13
0,7.5,11.9,156.1,39.6,5,570.0,6,11
2,5.2,32.9,195.5,64.3,2,235.0,5,4
1,5.5,20.6,5.2,70.7,6,1363.0,3,5
2,6.6,39.5,59.8,28.9,3,1059.0,7,12
2,6.0,21.0,116.7,91.8,4,129.0,4,3
0,5.2,20.9,19.2,23.1,7,708.0,3,8
0,8.2,16.2,170.1,51.0,3,1143.0,8,11
1,6.9,16.0,159.4,57.3,11,693.0,3,1
1,7.3,23.6,120.0,29.2,7,971.0,4,12
2,7.8,31.4,35.4,68.4,9,190.0,2,3
1,6.8,28.3,183.5,55.6,7,1176.0,6,12
1,8.1,16.1,133.8,92.0,3,276.0,3,4
2,6.1,28.9,118.8,82.5,11,969.0,9,4
2,8.5,24.6,161.1,62.9,12,1415.0,1,10
0,8.3,20.3,197.5,90.1,8,606.0,6,0
1,5.0,34.3,139.1,44.8,2,546.0,4,12
1,6.7,26.1,84.5,76.4,4,1488.0,2,3
2,5.0,29.5,44.2,32.0,11,1224.0,9,5
0,5.9,15.0,11.5,42.2,8,519.0,9,5
3,5.7,11.8,77.4,94.1,4,84.0,5,1
1,8.1,41.6,138.4,85.7,5,771.0,5,12
1,7.6,34.6,171.3,40.4,8,965.0,9,12
2,4.5,14.3,157.7,82.1,1,416.0,9,4
2,7.3,17.1,144.3,57.0,3,624.0,6,12
2,5.8,22.9,33.3,66.8,10,871.0,8,1
2,4.6,35.1,179.8,81.6,3,586.0,1,12
2,5.2,34.0,130.9,76.6,4,1090.0,9,3
3,8.4,31.9,50.3,58.4,4,1319.0,8,3
3,6.0,20.4,13.4,24.8,6,669.0,1,8
3,4.7,37.0,56.9,38.4,11,237.0,1,0
3,5.9,31.4,140.6,47.3,1,690.0,1,4
0,6.7,39.2,177.7,25.2,11,1197.0,0,13
1,4.6,22.3,126.2,27.8,2,500.0,7,4
0,6.7,11.0,134.1,54.8,5,910.0,0,11
3,5.5,13.1,188.7,80.6,3,1187.0,7,1
1,6.9,24.2,80.1,28.0,5,1296.0,1,9
1,7.1,41.4,140.6,31.5,4,777.0,0,12
3,7.2,39.5,11.8,75.2,12,894.0,7,1
0,7.4,38.4,90.7,64.0,9,1110.0,2,13
2,6.0,28.9,35.3,53.7,4,1067.0,9,3
3,5.6,26.7,74.4,48.3,1,350.0,2,0
2,6.8,28.4,149.8,30.4,11,116.0,2,4
2,6.7,21.1,29.6,20.5,10,645.0,8,1
3,4.6,37.3,180.0,75.5,2,1366.0,3,4
2,5.1,24.4,197.5,35.9,1,1469.0,9,4
1,7.5,26.6,70.7,23.0,7,44.0,1,12
2,4.9,40.6,116.2,38.2,9,170.0,8,0
1,5.8,18.3,135.4,61.7,2,67.0,6,12
2,6.0,40.2,27.9,27.2,10,943.0,6,1
0,7.9,40.7,68.6,37.3,12,1030.0,2,10
0,7.9,25.6,146.6,89.0,12,633.0,8,8
0,6.4,41.8,82.5,73.1,2,548.0,5,4
1,6.1,23.2,187.0,22.9,12,227.0,3,4
2,4.9,20.0,173.3,73.1,4,927.0,0,0
1,7.1,23.0,138.4,84.6,5,767.0,8,9
2,5.3,30.4,164.4,88.8,11,227.0,5,0
2,7.0,32.6,99.6,43.5,7,472.0,5,0
1,5.1,32.1,32.8,36.9,3,900.0,8,3
1,7.3,31.1,195.1,39.1,5,959.0,3,0
3,7.0,25.2,11.8,50.4,12,560.0,4,8
2,6.7,14.5,179.3,50.3,3,1229.0,3,12
1,4.8,19.0,156.1,71.8,5,459.0,0,5
2,4.5,40.0,150.9,77.2,9,365.0,7,4
0,5.9,29.2,150.9,88.0,7,496.0,9,0
0,4.7,17.8,91.1,37.2,11,36.0,5,11
3,7.8,27.6,126.0,72.4,12,909.0,0,4
2,6.2,18.1,121.4,58.4,10,1484.0,0,1
1,4.9,34.3,90.4,32.0,1,243.0,1,4
3,8.1,27.1,194.3,29.6,4,487.0,2,4
1,5.9,37.6,153.5,30.5,12,1397.0,5,4
0,8.4,26.8,85.0,50.4,11,376.0,2,5
0,7.1,12.8,27.3,94.3,2,13.0,5,11
3,6.8,28.9,90.3,21.3,1,865.0,1,4
3,8.3,28.7,73.6,57.6,11,891.0,1,5
0,7.6,36.5,198.8,34.0,3,68.0,7,12
2,5.9,11.3,35.0,26.3,7,427.0,2,0
1,6.7,33.1,109.8,82.1,3,140.0,7,12
3,6.6,22.2,102.2,80.0,1,594.0,7,7
0,4.7,39.2,112.6,94.7,2,97.0,3,12
3,6.2,10.7,66.4,23.7,10,1290.0,4,1
2,4.8,11.0,102.7,32.5,1,594.0,3,1
3,8.0,37.1,86.9,25.3,12,901.0,5,4
2,6.1,24.1,154.8,54.6,6,939.0,0,0
2,6.5,21.5,57.7,47.2,9,266.0,8,0
0,5.1,29.8,157.2,72.2,5,172.0,2,14
3,8.1,29.3,72.9,89.5,8,685.0,8,5
1,5.0,33.2,22.6,82.5,3,964.0,2,12
2,8.1,37.7,143.5,73.4,11,1399.0,9,4
1,8.1,26.4,105.2,51.0,3,333.0,9,12
0,5.4,10.9,113.7,26.9,9,1257.0,8,1
3,8.4,32.8,158.2,83.9,2,1260.0,5,12
2,7.4,20.5,128.8,37.7,12,130.0,5,4
3,5.0,19.4,120.6,86.2,5,1037.0,8,14
2,5.3,11.0,95.2,30.7,12,349.0,1,1
2,5.8,41.4,27.6,76.9,3,1413.0,1,0
0,8.2,25.9,54.7,74.6,12,950.0,0,10
0,7.0,16.9,47.1,76.5,11,812.0,5,8
1,5.5,33.5,49.8,31.6,2,88.0,0,2
2,6.4,23.8,66.4,76.3,2,2.0,7,4
3,8.2,37.3,70.6,27.4,5,397.0,8,12
0,7.6,16.3,87.7,36.4,6,600.0,7,8
2,4.8,15.1,115.5,29.9,8,301.0,8,0
1,4.6,16.4,158.5,43.4,9,1116.0,5,1
2,7.4,13.8,9.2,83.3,11,1412.0,7,1
3,6.4,23.3,51.7,60.3,7,157.0,7,0
0,6.2,16.6,143.4,86.9,6,1141.0,4,8
0,5.1,40.2,193.7,83.6,8,133.0,1,12
1,6.5,36.4,185.3,65.2,7,1423.0,7,12
0,5.9,29.6,21.2,87.2,2,1318.0,8,2
2,7.9,24.0,152.5,90.6,11,336.0,3,10
0,8.4,41.9,111.2,60.9,6,962.0,2,13
3,4.9,17.4,50.9,67.2,6,578.0,9,8
2,4.6,16.3,35.1,87.0,12,1049.0,9,11
2,5.4,22.4,161.6,33.3,4,853.0,4,3
2,7.2,33.7,31.4,92.9,6,1446.0,2,3
1,7.7,29.4,107.8,61.7,6,1141.0,9,7
2,4.8,36.5,27.1,62.6,6,1459.0,8,0
0,5.5,39.0,114.4,57.9,10,582.0,1,13
3,6.3,33.7,170.1,74.7,10,32.0,2,4
2,6.4,16.1,122.8,30.3,2,1267.0,0,4
1,6.7,21.3,35.5,61.6,3,601.0,9,11
2,7.8,26.2,25.1,70.5,10,902.0,4,10
3,4.9,41.3,115.3,66.6,11,137.0,3,4
3,6.5,35.8,138.1,44.4,2,442.0,6,12
0,8.0,30.7,40.6,23.3,6,1074.0,8,13
3,5.3,15.7,36.2,50.5,8,1426.0,2,1
2,7.1,21.4,160.2,59.1,3,1464.0,4,4
1,7.4,33.4,77.0,39.2,2,774.0,7,12
3,6.3,29.5,113.4,77.7,2,68.0,7,4
1,5.1,36.9,190.0,81.3,3,1016.0,2,12
2,6.2,12.4,88.3,59.0,11,1343.0,5,1
0,8.3,26.8,196.8,24.5,3,1256.0,8,12
0,7.9,37.5,104.2,47.0,9,1026.0,5,4
0,7.5,36.7,5.3,63.4,2,1024.0,3,13
0,6.2,14.2,137.4,84.5,2,537.0,1,11
1,5.5,10.3,8.5,26.6,6,313.0,6,11
1,6.4,14.9,183.5,55.2,4,1334.0,8,11
1,5.1,36.4,126.6,22.3,1,617.0,8,4
2,5.4,16.7,64.5,95.0,11,335.0,1,1
1,7.1,34.4,157.9,75.4,1,457.0,6,4
3,6.2,19.9,102.8,42.9,4,1431.0,0,14
3,6.6,23.6,41.9,76.5,1,443.0,2,7
2,6.7,23.7,164.2,40.4,3,436.0,6,12
0,4.8,16.8,26.9,39.9,11,766.0,8,11
2,8.3,11.6,30.2,26.3,7,473.0,2,1
3,5.4,40.9,44.2,55.0,9,87.0,7,14
3,6.2,40.8,148.0,31.6,6,33.0,1,0
1,4.8,29.1,133.6,20.4,6,1302.0,1,0
2,7.4,16.1,88.0,48.3,12,1431.0,9,11
1,5.5,25.0,189.3,93.7,1,116.0,9,4
0,6.6,20.5,41.9,85.7,12,313.0,2,8
1,5.7,23.1,73.0,41.5,1,655.0,9,7
3,6.2,41.1,127.9,59.1,9,1040.0,1,4
0,4.8,39.1,138.7,72.7,7,668.0,2,13
3,5.0,21.8,156.6,23.1,1,1093.0,4,4
1,4.9,34.6,28.1,89.5,3,828.0,3,2
2,4.7,28.0,2.6,41.5,9,836.0,9,14
0,7.5,38.0,44.8,43.2,3,824.0,8,13
2,6.6,13.3,140.9,52.9,3,551.0,1,1
1,7.8,22.5,69.9,25.2,3,1491.0,9,12
1,4.7,18.6,63.7,91.4,7,870.0,3,5
1,7.3,41.2,23.9,23.3,3,255.0,4,12
0,8.0,30.4,175.9,72.6,1,149.0,6,12
1,7.2,36.6,198.6,67.3,7,975.0,6,0
1,5.9,33.1,103.0,26.1,2,163.0,8,4
3,7.8,42.0,87.4,24.4,11,991.0,7,10
1,4.5,33.9,146.5,72.9,11,1452.0,3,4
2,4.5,35.5,83.8,69.6,3,9.0,4,12
3,6.0,28.6,90.7,79.5,1,396.0,6,4
1,8.4,35.2,129.6,93.2,11,1458.0,6,4
1,4.8,39.9,196.2,78.0,12,805.0,8,4
1,5.8,14.7,134.6,40.2,6,781.0,7,0
0,4.7,34.1,181.4,76.5,1,1394.0,8,2
0,6.1,11.6,67.0,20.2,1,264.0,5,11
2,5.4,32.5,78.4,84.8,4,1327.0,5,3
0,6.0,35.8,65.4,77.5,7,1215.0,0,13
1,7.3,36.4,119.8,55.5,11,279.0,0,4
0,8.4,32.4,113.7,81.8,12,900.0,8,3
3,6.1,16.7,152.1,52.1,5,696.0,7,0
0,7.7,20.5,102.8,74.1,3,118.0,8,4
1,6.3,34.3,180.9,33.4,9,1172.0,3,4
0,6.5,17.6,73.0,22.4,12,1285.0,6,8
2,5.0,26.1,43.9,70.8,4,1219.0,4,9
1,7.6,17.6,47.8,38.6,5,638.0,6,3
3,6.2,30.1,158.2,78.2,1,677.0,7,4
2,4.7,23.1,149.7,33.7,12,228.0,4,0
3,7.6,34.6,129.6,87.1,10,207.0,7,4
1,8.0,38.8,170.8,79.2,11,431.0,0,4
1,5.6,21.4,78.0,52.6,5,1307.0,4,9
3,6.6,35.8,3.9,78.5,12,982.0,2,4
1,8.1,28.1,88.1,49.7,3,380.0,3,12
2,7.9,36.7,196.8,68.3,5,774.0,9,0
3,6.5,27.9,194.5,40.7,7,1241.0,3,0
2,7.4,15.8,23.2,40.5,10,165.0,8,11
2,5.9,28.8,130.7,36.7,7,1009.0,3,0
3,8.5,14.4,139.5,58.2,6,1446.0,0,8
0,6.1,27.3,91.9,93.6,8,303.0,1,7
2,4.7,10.1,72.8,28.9,12,889.0,9,1
3,5.9,24.0,154.0,94.1,4,476.0,9,0
1,5.6,35.1,32.2,81.8,8,58.0,6,13
2,7.5,39.4,33.3,76.7,11,769.0,4,1
0,8.1,35.8,96.0,86.9,8,1128.0,6,13
2,8.1,17.6,53.7,90.1,11,483.0,2,1
2,5.0,25.2,119.7,32.9,5,365.0,5,9
1,7.5,28.7,1.5,36.9,2,1417.0,9,2
0,8.0,19.2,196.9,33.7,7,1064.0,8,10
0,5.6,16.8,155.8,26.1,11,542.0,9,10
1,6.4,30.6,150.4,56.7,1,1133.0,9,4
3,8.3,41.4,51.0,63.4,9,1107.0,5,1
1,5.5,19.9,90.1,77.1,2,534.0,5,7
0,5.8,35.8,70.2,75.7,2,1071.0,4,13
3,5.3,38.6,127.6,27.8,7,761.0,4,12
2,5.9,19.2,17.3,39.3,7,1229.0,5,5
1,6.7,19.3,16.4,81.3,1,1336.0,8,7
2,5.9,36.4,144.7,42.7,10,146.0,3,0
3,5.6,29.5,198.6,28.8,8,1409.0,0,0
3,7.8,32.9,76.8,41.5,1,1225.0,5,2
1,6.8,30.7,197.4,59.4,6,604.0,5,0
0,6.8,32.4,138.4,73.1,1,1108.0,6,2
0,5.8,24.2,190.8,78.4,12,60.0,0,8
3,5.4,14.3,34.2,52.5,4,900.0,4,1
0,6.0,25.6,24.1,25.3,2,1342.0,6,2
0,4.6,29.5,85.0,77.7,5,222.0,0,9
2,5.7,32.8,52.1,20.6,5,957.0,3,0
2,7.4,39.0,81.5,91.0,11,894.0,5,4
0,7.2,40.0,109.7,62.9,9,1211.0,2,13
3,6.5,36.4,124.5,55.1,6,842.0,2,0
0,4.8,39.2,171.2,66.6,7,317.0,0,13
