crop,soil_type,soil_ph,avg_temperature,rainfall_7day,humidity,area_acres,elevation,state,month,yield_per_acre
14,1,7.7,13.9,138.9,25.7,9.2,811.0,8,10,0.38
4,3,7.9,32.3,70.2,22.3,7.8,831.0,9,2,25.07
4,1,4.8,18.6,70.7,24.4,6.5,467.0,6,10,10.86
2,1,6.3,26.7,180.2,45.6,2.9,1461.0,3,2,0.55
8,3,7.6,29.5,81.2,42.7,10.3,180.0,2,12,2.67
10,3,6.7,14.8,149.0,94.3,2.3,1375.0,8,6,0.11
7,1,6.2,30.2,83.5,59.0,11.0,880.0,4,10,6.13
0,3,7.3,32.2,48.2,20.8,2.2,236.0,6,7,2.74
7,3,8.0,31.9,41.6,57.0,19.2,1237.0,1,12,3.3
1,2,8.3,30.5,9.8,43.8,12.2,1370.0,4,8,0.18
9,1,8.3,38.4,70.4,79.5,7.7,1297.0,0,8,0.64
12,1,5.6,18.5,113.7,62.9,13.9,1318.0,6,2,9.65
14,2,8.0,27.3,81.3,72.8,3.0,290.0,7,8,0.2
9,0,5.5,11.5,197.2,71.4,12.0,1064.0,8,6,0.38
7,0,5.0,33.9,114.2,72.9,10.6,733.0,4,10,1.89
12,0,6.2,22.0,154.8,92.4,14.7,264.0,8,7,8.98
5,2,5.2,27.1,7.8,81.3,8.4,951.0,6,8,0.58
4,2,6.0,12.2,167.0,42.9,7.7,802.0,3,10,7.57
0,3,7.2,32.0,34.7,25.6,18.6,366.0,9,7,1.85
12,0,7.4,13.6,16.5,66.1,15.5,1150.0,5,2,3.16
11,2,6.3,23.1,80.5,44.3,17.5,1288.0,7,8,0.13
4,0,5.5,12.7,84.2,42.2,5.4,179.0,7,4,4.49
9,1,5.6,36.7,107.9,59.8,12.2,1183.0,7,7,0.64
10,0,7.0,13.4,124.5,78.5,16.9,1423.0,0,2,0.11
13,1,5.7,41.7,18.7,86.0,5.8,1008.0,7,9,0.22
7,3,6.5,14.0,71.8,94.4,14.9,1453.0,5,12,4.7
0,0,7.3,18.8,66.5,41.5,4.3,1288.0,0,12,0.79
1,2,8.3,11.3,180.2,83.7,15.5,601.0,3,12,0.58
8,3,7.1,16.0,138.8,40.9,3.0,400.0,0,12,2.52
0,1,6.9,30.1,31.6,70.2,18.5,547.0,2,8,1.32
10,0,5.8,22.8,52.3,52.5,15.7,1166.0,7,6,0.11
3,2,5.9,17.4,152.8,22.4,9.3,951.0,5,9,0.12
6,3,6.4,18.8,10.0,87.1,4.2,256.0,1,9,0.17
9,3,6.4,18.0,167.8,33.8,15.5,443.0,1,10,0.36
4,0,4.9,31.3,77.4,32.6,2.9,1153.0,0,1,11.72
5,0,6.5,40.9,26.2,69.1,2.8,189.0,0,1,0.48
1,1,6.4,12.4,74.0,32.8,7.5,1085.0,2,1,0.5
1,1,7.9,14.3,87.3,48.7,5.2,1474.0,3,2,0.38
13,2,5.7,14.4,98.8,37.1,14.3,1436.0,0,1,0.1
14,2,6.4,10.2,5.5,54.6,0.5,633.0,1,7,0.22
4,2,5.8,34.4,41.1,42.7,6.7,465.0,3,7,8.34
0,0,4.6,13.0,146.3,82.5,16.2,1245.0,7,12,0.2
1,1,5.4,28.8,193.3,60.9,19.1,442.0,9,5,0.28
3,3,5.9,21.1,15.3,41.2,13.5,426.0,3,7,0.22
12,3,6.7,25.7,178.2,38.0,1.3,1422.0,0,8,5.34
10,2,6.0,34.8,140.4,45.2,18.2,942.0,3,2,0.11
2,0,6.8,30.9,24.1,81.5,3.0,707.0,1,6,0.78
7,1,7.6,12.6,46.7,25.8,7.7,1368.0,6,2,3.32
12,1,8.5,10.8,67.7,41.8,10.6,581.0,3,12,1.91
2,1,8.0,26.0,196.6,91.7,3.8,1231.0,9,2,0.27
8,3,5.0,23.8,145.2,73.5,1.6,648.0,3,11,1.64
10,3,7.0,14.7,176.1,88.4,9.9,552.0,0,5,0.12
4,3,6.0,31.7,68.0,25.8,13.0,307.0,1,9,21.87
10,3,6.4,29.6,175.4,92.7,15.6,597.0,9,4,0.14
13,2,5.0,31.2,13.4,64.8,12.1,1391.0,4,4,0.15
13,0,6.3,18.8,123.6,36.0,5.2,59.0,4,3,0.1
2,3,7.7,29.4,91.3,48.9,10.6,1269.0,2,8,0.28
2,0,7.9,26.6,25.4,42.2,8.4,1497.0,6,8,0.66
12,1,6.6,38.6,30.5,22.3,17.3,1147.0,4,12,3.0
5,3,4.6,15.5,167.9,58.2,3.6,1183.0,6,10,0.68
10,3,4.9,26.5,9.7,77.4,4.7,661.0,5,7,0.1
13,0,8.0,16.8,2.0,87.7,4.7,725.0,3,12,0.1
0,3,8.3,24.1,168.0,37.0,6.5,201.0,4,9,0.55
9,2,4.9,31.9,68.8,53.8,13.0,670.0,8,4,1.09
7,3,5.9,24.5,189.8,20.7,15.8,274.0,7,11,2.74
10,1,6.8,36.1,96.4,91.1,1.1,628.0,5,12,0.11
10,1,8.1,27.2,68.0,50.9,10.5,707.0,7,11,0.24
11,2,8.3,30.3,171.0,69.8,6.5,337.0,5,7,0.1
11,3,6.7,18.7,107.2,63.0,11.1,530.0,4,9,0.21
11,0,6.9,19.2,81.3,75.4,13.0,1440.0,2,1,0.15
7,0,5.5,30.0,10.5,35.0,1.5,1336.0,8,5,3.25
5,3,4.7,27.0,24.2,75.5,5.9,1182.0,1,1,0.57
14,0,7.8,11.0,158.4,20.1,15.7,178.0,5,5,0.22
5,1,8.1,20.7,157.1,58.7,9.3,1252.0,7,3,0.42
9,2,4.7,33.0,182.8,77.2,16.6,1126.0,7,11,0.34
13,0,7.3,25.2,53.8,38.8,18.7,353.0,8,1,0.14
10,1,5.7,12.1,58.0,66.7,7.4,1019.0,8,1,0.1
10,2,4.9,26.5,144.8,30.6,10.4,1340.0,4,5,0.1
0,1,5.2,28.1,42.4,27.9,16.9,1114.0,2,12,0.99
1,2,6.3,13.4,182.7,53.7,16.3,252.0,7,10,0.89
0,1,5.9,40.3,143.3,43.2,5.8,219.0,7,7,0.91
5,2,8.3,13.5,117.5,31.4,13.8,890.0,3,8,0.46
1,1,7.6,36.2,160.6,51.4,17.6,532.0,5,5,0.21
13,0,6.8,32.2,154.8,20.9,1.5,145.0,2,9,0.17
5,3,6.7,35.9,103.4,43.1,17.2,737.0,1,8,0.66
2,3,4.8,35.9,60.4,67.2,14.7,816.0,9,9,0.14
2,1,7.6,38.2,11.0,57.7,9.6,286.0,0,12,0.27
12,3,7.0,28.8,158.5,23.1,4.7,863.0,8,8,8.43
10,0,5.7,17.9,128.6,51.0,8.5,944.0,3,1,0.11
9,1,8.3,37.4,91.6,93.4,0.6,701.0,2,1,0.5
1,2,5.3,15.1,154.4,42.2,13.6,296.0,1,11,0.67
1,2,7.4,17.8,54.5,30.4,11.7,693.0,8,6,0.7
0,1,8.3,21.6,9.9,31.8,6.6,1394.0,1,11,0.47
9,3,4.8,17.7,155.9,31.8,11.5,367.0,4,5,0.55
14,2,6.2,40.1,183.9,78.8,4.3,358.0,1,1,0.13
4,1,8.2,31.2,103.9,81.5,6.7,1384.0,2,8,12.22
10,0,7.5,28.2,106.1,93.7,8.2,1375.0,0,7,0.13
10,3,4.8,30.2,26.2,75.6,13.4,521.0,5,12,0.19
9,0,7.3,35.1,76.9,62.3,12.3,1148.0,8,8,0.46
13,3,5.5,33.2,131.5,64.6,12.6,86.0,3,11,0.13
4,1,5.9,16.1,173.1,86.0,0.8,72.0,4,7,4.96
6,1,6.6,33.2,116.5,65.5,8.2,296.0,2,5,0.27
12,0,6.3,29.5,186.1,58.4,18.0,255.0,1,7,5.8
9,0,8.0,40.3,53.8,75.6,9.5,1484.0,7,10,0.32
8,3,7.4,27.9,97.1,35.9,12.6,1090.0,6,6,2.63
3,2,6.0,36.2,2.4,31.1,7.2,1337.0,0,7,0.26
10,0,5.2,22.6,121.3,86.3,13.8,1295.0,4,6,0.12
3,1,5.9,19.3,129.7,38.6,6.6,969.0,5,1,0.13
1,3,7.0,28.2,115.3,42.7,16.5,421.0,9,8,0.33
1,2,5.0,17.0,175.7,54.6,14.3,10.0,7,10,0.41
5,2,7.1,36.8,54.4,68.9,13.0,1346.0,5,11,1.2
14,1,5.6,28.0,7.0,29.6,1.8,452.0,4,2,0.25
10,2,4.5,22.7,196.0,68.2,3.8,414.0,3,12,0.1
10,0,7.9,40.2,127.3,87.0,5.2,774.0,4,9,0.11
6,3,7.5,23.2,100.0,91.0,7.0,574.0,5,1,0.18
11,0,5.1,23.0,79.2,51.4,17.4,210.0,6,5,0.12
0,2,7.8,12.6,192.2,46.0,6.0,473.0,3,7,0.5
1,1,8.3,20.7,17.5,72.0,4.0,757.0,5,5,0.57
2,2,8.5,24.0,65.8,36.4,13.8,217.0,2,6,0.21
6,3,5.4,29.0,89.3,76.3,1.2,873.0,8,7,0.31
5,1,7.9,26.6,35.1,58.6,2.5,1144.0,5,8,1.52
5,1,5.2,40.4,12.3,83.3,6.1,1269.0,0,4,0.23
11,3,5.3,32.2,77.7,28.8,17.8,317.0,3,3,0.1
2,3,7.4,40.5,197.7,75.4,14.9,489.0,9,10,0.1
6,0,5.4,28.3,183.6,64.6,6.2,242.0,6,4,0.16
12,1,5.0,29.0,131.6,29.8,4.6,1159.0,0,4,4.66
7,2,8.2,22.8,100.4,41.7,13.5,1212.0,4,1,2.19
5,0,6.3,16.9,164.2,55.1,17.9,812.0,9,2,0.42
7,2,5.0,31.8,180.5,88.6,7.3,287.0,6,1,1.57
7,2,8.5,14.0,186.0,40.0,5.6,549.0,8,11,1.25
6,0,6.1,21.3,199.7,52.9,18.8,776.0,0,5,0.28
14,3,7.8,40.9,160.4,30.7,8.4,358.0,0,3,0.12
5,3,6.1,13.8,20.9,20.4,7.8,1087.0,3,2,0.64
12,0,6.2,35.1,183.3,64.1,11.6,569.0,9,9,2.89
13,1,6.2,20.6,120.2,31.7,10.8,1143.0,2,8,0.17
7,3,7.6,15.4,163.4,68.8,14.3,697.0,7,11,2.54
8,2,5.3,41.0,168.8,44.5,4.4,649.0,0,2,0.52
9,0,7.6,26.2,177.3,74.5,10.3,1083.0,8,8,0.34
0,0,6.0,34.0,79.7,81.3,13.9,1036.0,4,8,1.46
14,0,4.6,12.7,171.5,59.4,7.4,959.0,3,9,0.15
2,1,7.3,21.7,189.6,54.6,7.0,687.0,7,7,0.35
7,0,8.1,22.2,2.3,53.6,3.5,1003.0,7,5,1.98
1,2,4.9,20.6,175.5,28.2,1.3,1154.0,4,7,0.21
10,3,7.6,40.0,96.1,37.3,16.3,1280.0,7,5,0.1
13,1,7.2,30.3,139.2,62.3,18.1,687.0,8,6,0.31
6,1,8.0,13.0,159.0,34.3,0.8,1301.0,5,4,0.1
3,2,6.2,20.3,86.2,49.7,11.0,536.0,1,8,0.17
3,2,8.5,21.8,60.7,25.5,7.7,402.0,5,12,0.35
1,1,7.0,18.7,164.7,91.2,17.5,169.0,7,3,0.46
2,1,7.2,34.6,77.1,79.9,9.5,1178.0,6,8,0.31
6,1,7.3,12.5,174.1,27.5,18.1,892.0,2,11,0.1
2,1,7.1,10.2,78.6,77.7,5.1,1018.0,8,5,0.16
5,1,7.1,21.9,111.9,71.6,19.1,1386.0,9,8,0.95
8,1,4.6,26.9,142.8,49.1,13.1,420.0,2,8,0.89
14,3,6.3,11.9,72.3,72.2,13.9,943.0,9,10,0.27
9,3,7.6,14.2,105.0,38.7,10.7,634.0,4,5,0.4
0,2,7.4,11.0,184.3,52.3,1.4,1124.0,1,12,0.34
11,2,6.5,19.7,33.7,84.8,8.0,1187.0,9,8,0.2
11,3,7.7,22.7,25.3,40.6,2.9,917.0,0,9,0.39
12,1,4.6,19.5,175.4,23.4,6.3,1004.0,2,11,1.51
13,2,7.1,11.8,193.3,39.8,16.3,1205.0,4,6,0.13
0,0,4.7,31.2,22.8,76.1,2.4,418.0,8,5,0.81
1,1,5.4,15.1,47.5,20.7,5.5,1076.0,8,12,0.95
0,1,6.3,16.5,96.3,35.3,3.3,1334.0,4,7,1.36
7,2,7.2,23.3,65.9,71.5,6.9,323.0,9,3,2.56
7,0,4.6,23.0,147.1,52.3,10.1,1175.0,1,12,2.08
0,2,4.9,26.9,178.2,61.3,5.7,641.0,7,4,0.47
10,1,5.7,11.4,179.8,36.5,4.4,1325.0,3,5,0.1
11,2,5.4,31.2,56.0,33.6,1.9,672.0,7,5,0.1
3,0,4.9,39.3,106.2,79.4,19.9,997.0,5,5,0.14
6,2,4.6,10.6,106.3,46.4,4.3,1408.0,8,1,0.1
10,2,8.2,30.2,131.9,41.8,3.7,620.0,3,5,0.1
8,3,6.3,41.6,32.0,44.0,16.9,574.0,4,6,3.03
2,2,6.5,34.5,145.3,45.0,7.5,1122.0,1,7,0.41
5,0,6.5,24.1,87.4,66.9,3.9,849.0,2,8,0.79
12,2,5.1,37.6,80.1,32.2,6.2,1117.0,9,1,9.7
12,2,6.7,12.9,163.2,66.9,6.5,1450.0,6,8,4.05
0,2,5.7,28.0,22.7,43.7,18.3,1484.0,1,6,2.12
3,2,7.8,11.7,158.8,32.6,9.8,442.0,6,10,0.1
8,1,6.4,41.9,182.1,66.9,2.2,906.0,1,1,1.32
2,2,5.0,10.5,81.3,80.9,12.8,923.0,1,3,0.1
8,2,7.5,24.7,155.3,62.2,17.2,1260.0,4,5,1.72
1,1,7.2,34.9,115.6,57.2,8.5,568.0,5,9,0.36
3,2,8.5,23.7,135.1,53.7,3.5,979.0,8,8,0.17
2,3,6.0,40.7,96.5,79.0,2.0,225.0,7,8,0.17
13,0,6.4,13.6,131.2,85.2,10.4,1028.0,0,6,0.16
6,0,6.9,18.1,102.4,55.5,5.2,520.0,5,1,0.15
4,2,5.2,36.9,14.3,68.4,9.6,1273.0,1,3,9.19
4,3,8.2,21.0,65.7,82.0,9.5,920.0,3,3,17.94
12,0,7.1,33.7,99.3,29.0,3.9,889.0,1,12,5.54
9,1,5.6,26.4,49.7,60.0,3.3,725.0,0,2,1.07
7,0,7.2,26.5,198.4,81.0,5.1,686.0,7,6,3.46
12,2,8.2,19.1,199.1,42.7,1.7,1197.0,7,5,3.76
13,2,5.1,31.9,196.7,87.6,15.9,482.0,4,4,0.1
10,3,8.2,32.0,3.8,69.2,16.5,1019.0,3,4,0.1
13,1,7.8,23.2,54.0,34.3,5.2,172.0,4,11,0.1
8,0,7.5,25.9,158.6,81.4,7.7,388.0,3,9,2.44
4,1,7.9,41.4,75.2,53.4,7.1,1478.0,8,12,14.94
6,0,7.0,35.8,100.0,94.7,12.5,184.0,9,8,0.24
11,1,6.4,35.4,189.8,79.6,9.8,1230.0,1,12,0.12
6,2,5.5,10.4,28.4,64.9,17.4,1418.0,4,2,0.16
10,2,7.9,39.7,43.7,26.4,5.7,695.0,6,9,0.1
13,0,8.2,25.3,66.3,90.8,5.5,825.0,6,1,0.14
9,1,5.1,22.2,20.7,68.5,7.4,312.0,2,5,1.29
14,1,4.6,39.1,114.4,82.8,14.4,1384.0,6,9,0.22
11,3,6.5,32.3,196.1,56.0,4.5,1484.0,8,11,0.13
10,0,5.1,32.0,0.4,64.1,16.0,1354.0,3,7,0.1
12,3,7.4,35.7,67.7,54.0,12.6,1140.0,1,10,7.83
8,0,6.0,18.8,125.5,79.9,19.0,25.0,9,10,3.48
13,0,6.5,21.0,86.1,36.1,15.8,1407.0,3,3,0.12
6,1,7.1,41.9,90.8,82.5,16.6,1198.0,6,1,0.1
3,1,5.8,38.5,83.6,64.6,5.3,1226.0,5,2,0.17
1,1,8.5,23.4,195.3,51.7,9.7,891.0,5,8,0.24
14,1,8.3,22.2,45.1,73.8,16.5,1282.0,8,6,0.54
1,3,5.4,20.0,135.0,20.6,12.7,1355.0,8,7,0.33
13,2,7.3,33.5,107.5,90.1,0.8,1211.0,8,6,0.26
2,0,6.8,32.2,64.8,54.3,19.0,661.0,5,4,0.41
8,3,4.7,40.0,45.4,32.4,10.7,315.0,1,5,1.06
9,2,8.0,31.7,58.4,24.1,5.2,303.0,7,7,1.14
4,0,5.0,10.6,188.4,66.4,7.0,241.0,2,5,1.45
2,0,6.2,18.6,87.4,59.2,19.8,368.0,5,10,0.12
6,2,6.1,15.2,196.7,48.4,15.5,101.0,7,5,0.28
9,3,6.5,11.9,0.5,24.5,17.2,1482.0,6,4,0.37
13,2,5.8,39.7,117.1,76.3,14.4,21.0,7,8,0.19
11,1,7.8,24.3,175.1,76.3,4.6,216.0,5,8,0.13
5,0,7.2,12.1,90.8,71.6,3.0,227.0,5,10,0.48
0,2,8.0,36.7,41.2,80.6,15.5,458.0,0,2,1.12
3,2,6.3,27.5,191.2,55.5,17.8,282.0,6,3,0.32
4,0,6.8,32.7,48.6,40.4,19.3,530.0,1,2,16.81
4,1,6.2,12.5,191.8,45.6,2.7,395.0,3,12,6.53
12,2,6.5,41.8,179.6,28.5,19.1,77.0,3,3,6.24
1,2,5.3,28.9,59.1,91.0,1.8,555.0,2,12,0.4
5,1,7.7,17.9,194.1,53.2,1.5,1483.0,0,10,0.76
1,1,6.7,20.3,172.8,37.1,7.3,1114.0,1,7,0.45
1,1,6.5,38.8,97.0,60.4,7.5,799.0,7,2,0.25
2,0,6.3,24.9,187.6,49.8,16.1,768.0,1,8,0.32
6,0,4.7,39.4,24.6,91.5,8.0,180.0,4,12,0.1
11,2,4.7,39.3,131.9,53.0,1.5,1016.0,9,2,0.1
2,1,5.1,20.0,140.4,41.0,16.0,122.0,8,3,0.17
8,2,6.2,10.2,63.9,59.8,15.2,1474.0,4,1,1.7
3,3,6.9,39.1,158.3,76.1,8.4,246.0,2,2,0.16
13,0,6.9,39.9,16.6,49.8,14.6,278.0,9,2,0.3
11,1,4.8,37.1,136.3,72.7,9.2,411.0,7,10,0.1
12,0,7.5,17.0,166.5,42.5,11.9,168.0,6,3,4.27
9,0,7.4,17.6,19.0,38.1,8.4,10.0,0,8,0.35
6,3,7.8,13.8,124.4,91.6,11.3,729.0,2,9,0.1
14,2,5.5,39.1,99.4,93.7,4.9,198.0,2,7,0.24
0,1,7.7,18.3,31.1,56.0,5.4,195.0,5,5,0.82
5,3,4.8,40.7,72.6,77.0,9.8,940.0,1,2,0.2
4,2,8.0,39.6,9.3,59.6,17.2,392.0,7,2,9.32
12,0,4.6,26.7,190.5,58.7,8.6,677.0,4,9,1.52
6,1,6.0,24.6,151.7,27.4,18.9,1080.0,6,6,0.45
11,1,8.5,27.1,102.3,63.1,13.0,1277.0,0,3,0.1
9,1,6.4,36.9,193.5,78.4,5.7,825.0,2,9,0.41
9,1,5.4,38.1,159.5,33.9,5.3,961.0,7,11,0.29
10,2,6.6,12.2,16.3,82.0,1.8,1489.0,2,2,0.22
9,2,5.3,12.1,120.5,44.3,14.7,1105.0,1,10,0.21
3,0,6.2,34.5,122.4,37.7,9.2,882.0,0,11,0.17
2,0,7.3,41.9,90.1,69.7,10.2,605.0,6,4,0.1
8,3,7.9,23.1,156.4,73.5,2.5,856.0,9,9,2.2
0,1,7.1,29.7,130.4,55.0,12.2,455.0,9,3,0.57
5,2,5.7,23.0,168.4,73.1,10.1,420.0,4,11,0.87
12,2,6.6,24.8,122.9,87.6,9.6,464.0,6,4,11.08
4,0,6.4,15.5,18.5,83.3,1.9,1105.0,1,12,6.49
10,3,4.5,29.9,6.0,45.2,18.7,1186.0,4,7,0.1
8,1,8.3,15.7,72.2,95.0,4.6,1232.0,1,1,1.34
9,2,5.6,38.7,145.1,47.5,9.5,97.0,3,6,0.71
2,3,5.1,41.4,163.8,28.1,6.5,524.0,9,9,0.1
2,1,5.6,35.7,161.8,36.8,10.1,781.0,2,7,0.31
6,1,6.2,18.2,164.7,36.5,3.8,1065.0,0,7,0.37
0,2,7.2,21.2,164.9,48.3,16.5,1364.0,6,4,0.66
3,3,8.2,24.4,1.2,37.2,7.9,845.0,1,5,0.28
13,1,5.9,20.8,32.1,81.5,13.3,272.0,5,9,0.16
9,1,7.7,28.7,98.7,53.0,16.5,644.0,3,12,0.41
2,1,8.4,18.6,131.0,36.9,6.4,660.0,3,9,0.1
10,2,6.0,34.6,166.8,90.7,4.7,749.0,7,11,0.19
4,1,8.2,31.4,138.0,51.4,14.4,641.0,2,6,9.23
10,0,5.5,27.1,136.8,87.5,0.6,400.0,4,1,0.12
10,2,7.3,40.1,134.8,41.7,8.7,644.0,6,7,0.1
2,0,5.5,14.3,20.8,56.9,19.5,242.0,5,5,0.27
3,0,6.0,34.0,188.8,94.7,18.9,1410.0,7,11,0.15
0,2,8.3,33.7,186.7,58.8,1.0,1478.0,8,7,1.15
2,2,4.7,14.8,102.8,46.1,9.1,601.0,3,6,0.1
14,3,6.2,28.2,169.3,56.9,7.1,1308.0,9,2,0.28
0,3,7.5,30.4,165.5,51.0,5.1,594.0,2,5,1.08
5,1,7.6,14.4,168.4,60.4,11.6,1118.0,4,8,0.6
14,1,7.9,27.3,179.8,73.4,8.8,1464.0,1,5,0.43
1,3,7.9,32.0,65.1,57.2,15.2,592.0,2,1,0.18
0,2,7.0,40.6,140.0,49.6,8.9,1082.0,8,3,0.5
2,1,6.1,37.4,105.5,41.6,15.7,144.0,0,1,0.4
13,2,4.6,26.9,156.4,77.5,5.1,493.0,6,2,0.1
11,3,7.0,12.9,74.4,82.6,19.1,1462.0,9,7,0.15
10,1,5.3,16.2,122.1,51.8,19.7,1281.0,0,2,0.12
11,1,4.8,27.3,176.3,83.9,8.0,91.0,1,8,0.1
9,2,6.7,18.4,155.9,64.8,7.0,1121.0,4,6,0.81
8,1,4.8,27.1,99.9,20.6,8.2,356.0,3,5,1.49
11,1,4.5,14.5,198.1,22.8,17.7,1018.0,2,1,0.1
8,3,6.2,31.2,181.9,69.1,17.4,1323.0,9,8,1.37
2,3,6.3,10.1,158.2,28.1,12.0,1455.0,4,2,0.22
6,1,5.0,22.9,12.5,56.4,13.8,1176.0,8,9,0.12
13,1,7.3,26.8,147.3,28.3,15.2,1288.0,3,5,0.24
0,3,7.3,31.6,77.0,34.3,7.5,414.0,1,2,1.29
12,1,7.8,14.8,195.9,24.3,1.8,1122.0,7,9,1.55
3,0,5.4,22.8,82.6,74.6,3.3,306.0,8,9,0.18
7,1,7.0,20.6,198.0,34.0,3.3,863.0,0,3,2.67
12,1,7.2,41.5,184.1,55.5,16.0,1491.0,1,7,5.64
2,3,5.2,12.3,82.3,83.9,18.0,91.0,8,3,0.15
2,1,5.5,34.9,108.3,47.1,7.9,959.0,1,4,0.22
8,1,7.8,39.6,139.5,83.3,0.7,1368.0,9,6,1.41
10,2,6.7,38.0,156.3,22.9,5.7,289.0,8,3,0.1
0,3,7.3,32.6,189.8,72.2,17.1,204.0,1,2,0.59
3,2,8.3,20.7,185.4,73.4,10.8,1457.0,0,9,0.12
5,3,7.4,34.6,40.1,43.4,3.1,1430.0,3,2,0.75
10,3,5.2,22.2,177.3,35.2,6.7,3.0,7,8,0.11
4,1,8.0,13.6,152.6,49.8,5.2,1072.0,6,1,6.3
11,3,7.0,36.5,180.3,60.6,4.5,6.0,2,10,0.14
3,0,5.8,14.6,79.9,52.3,1.2,935.0,0,7,0.17
8,1,6.8,24.7,109.7,59.0,14.4,901.0,6,5,2.96
0,0,4.6,10.4,99.1,32.0,14.4,1112.0,4,2,0.25
12,1,6.1,41.1,186.3,38.1,8.7,606.0,4,5,4.69
13,1,7.1,33.8,57.0,39.4,14.8,764.0,8,5,0.22
6,3,7.9,31.7,58.2,71.8,16.0,582.0,0,9,0.26
12,0,6.1,41.8,27.0,46.4,4.8,1368.0,2,10,2.34
13,1,7.9,13.5,49.7,65.6,11.4,369.0,0,2,0.1
0,1,7.7,25.0,88.4,63.9,10.8,1477.0,9,9,0.67
10,0,8.1,24.0,137.9,63.0,4.3,684.0,8,2,0.11
12,1,5.9,32.3,22.7,71.6,17.5,423.0,5,8,4.59
2,3,5.3,16.7,165.3,72.2,10.7,182.0,0,5,0.13
6,3,5.2,31.9,128.0,31.3,11.4,1034.0,6,2,0.18
12,2,7.3,18.3,49.4,50.4,3.4,130.0,8,2,8.12
10,3,6.3,40.7,54.6,20.5,6.5,1296.0,1,11,0.14
9,1,6.7,25.4,71.0,45.6,12.8,1428.0,4,9,0.97
12,2,7.3,31.7,55.2,51.8,13.4,1362.0,8,7,9.84
3,3,6.8,13.5,158.4,87.2,0.7,501.0,4,2,0.1
12,0,7.7,34.1,195.8,69.5,10.2,511.0,8,2,4.4
5,2,5.3,18.4,40.6,85.4,8.9,860.0,6,9,1.17
6,3,4.8,24.9,9.8,80.7,10.0,1448.0,0,7,0.21
7,2,5.5,15.0,105.5,56.6,9.3,580.0,7,9,2.35
10,1,5.2,33.4,153.5,65.5,10.1,1201.0,5,1,0.1
10,0,7.0,18.6,180.5,88.5,10.2,88.0,3,12,0.24
4,0,6.2,27.4,148.9,49.7,12.2,5.0,0,7,5.35
5,0,8.4,27.2,192.5,23.4,16.2,750.0,9,10,0.89
13,2,8.3,22.4,185.4,50.5,13.7,822.0,4,4,0.1
0,3,5.4,28.2,25.4,30.9,4.7,874.0,2,2,0.81
11,0,5.6,30.1,113.5,88.9,5.0,473.0,9,1,0.1
5,0,7.2,34.3,152.4,63.0,9.2,407.0,2,2,0.46
6,1,6.9,18.0,147.9,21.4,10.5,8.0,4,10,0.19
12,3,6.7,32.3,138.0,51.2,17.7,1093.0,2,1,8.25
7,3,5.9,41.9,3.7,42.7,7.6,102.0,5,12,1.42
10,2,6.9,19.4,154.5,56.1,19.2,204.0,5,3,0.12
8,2,7.0,25.8,198.8,39.5,14.7,494.0,7,1,2.21
1,3,6.5,29.3,171.1,75.7,16.7,993.0,4,1,0.39
